IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),FinalDescription,AnimalGroupParent,PropertyType,SpecialServiceTypeCategory,SpecialServiceType,Borough,StnGroundName,AnimalClass,Code,London
133069131,24/09/2013 21:16,2013,2013/14,Special Service,1,1,290,290,H322 RUNNING CALL TO BUDGIE IN PRECARIOUS POSITION,Bird,Woodland/forest - broadleaf/hardwood ,Animal rescue from height,Animal rescue from height - Bird,Croydon,Norbury,Bird,00AH,Outer London
133182131,25/09/2013 07:13,2013,2013/14,Special Service,1,1,290,290,FOX TRAPPED IN FENCE IN REAR GARDEN,Fox,Animal harm outdoors,Other animal assistance,Animal harm involving wild animal,Islington,Islington,Mammal,00AU,Inner London
133227131,25/09/2013 09:50,2013,2013/14,Special Service,1,2,290,580,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Ealing,Ealing,Mammal,00AJ,Outer London
134107131,27/09/2013 01:40,2013,2013/14,Special Service,1,1,290,290,DEER TRAPPED IN FENCING,Deer,House - single occupancy ,Other animal assistance,Assist trapped wild animal,Croydon,Purley,Mammal,00AH,Outer London
134157131,27/09/2013 07:08,2013,2013/14,Special Service,1,1,290,290,HAMSTER TRAPPED UNDER FLOORBOARDS,Hamster,Converted Flat/Maisonettes - 3 or more storeys,Other animal assistance,Assist trapped domestic animal,Barnet,West Hampstead,Mammal,00AC,Inner London
134391131,27/09/2013 18:33,2013,2013/14,Special Service,1,1,290,290,KITTEN TRAPED IN HOLE OF FLOORBOARDS,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Lewisham,Bromley,Mammal,00AZ,Outer London
134782131,28/09/2013 16:17,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED IN CAR MECHANICS,Cat,Car ,Other animal assistance,Assist trapped wild animal,Ealing,Southall,Mammal,00AJ,Outer London
135986131,01/10/2013 10:00,2013,2013/14,Special Service,1,2,290,580,ASSIST RSPCA WITH CAT ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Hillingdon,Southall,Mammal,00AS,Inner London
136065131,01/10/2013 13:13,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BEHIND WALL,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Newham,Stratford,Mammal,00BB,Outer London
136116131,01/10/2013 15:43,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED UNDER BOILER,Cat,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Assist trapped domestic animal,Croydon,Norbury,Mammal,00AH,Inner London
137273131,04/10/2013 00:28,2013,2013/14,Special Service,1,1,290,290,CAT IN PRECARIOUS POSITION  ON ROOF,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Greenwich,Greenwich,Mammal,00AL,Outer London
137888131,05/10/2013 08:59,2013,2013/14,Special Service,2,3,290,870,DOG STUCK IN THE MUD WATER RESCUE PROCEDURE LEVEL 2,Dog,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Hammersmith And Fulham,Fulham,Mammal,00AN,Inner London
138071131,05/10/2013 15:36,2013,2013/14,Special Service,1,4,290,1160,DOG TRAPPED IN STORM WATER PIPE,Dog,Park ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Barnet,Mill Hill,Mammal,00AC,Outer London
138463131,06/10/2013 08:50,2013,2013/14,Special Service,1,1,290,290,CAT BEHIND CUPBOARD,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Assist trapped domestic animal,Tower Hamlets,Poplar,Mammal,00BG,Outer London
138560131,06/10/2013 13:19,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED  IN DRAIN,Cat,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Assist trapped domestic animal,Croydon,Croydon,Mammal,00AH,Inner London
139155131,07/10/2013 18:13,2013,2013/14,Special Service,1,1,290,290,DOG WITH HEAD IN RAILINGS,Dog,Cycle path/public footpath/bridleway ,Other animal assistance,Assist trapped domestic animal,Camden,Kentish Town,Mammal,00AG,Inner London
139492131,08/10/2013 12:34,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT STUCK BEHIND A WALL,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving domestic animal - Other action,Brent,Stanmore,Mammal,00AE,Inner London
139939131,09/10/2013 11:12,2013,2013/14,Special Service,1,1,290,290,DOG TRAPPED IN RAILINGS,Dog,Park ,Other animal assistance,Animal harm involving domestic animal,Barking And Dagenham,Dagenham,Mammal,00AB,Inner London
139994131,09/10/2013 14:01,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED IN CHIMNEY,Bird,Converted Flat/Maisonette - Up to 2 storeys ,Animal rescue from height,Animal rescue from height - Bird,Haringey,Tottenham,Bird,00AP,Outer London
140048131,09/10/2013 16:30,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED IN CHIMNEY,Bird,Converted Flat/Maisonette - Up to 2 storeys ,Animal rescue from height,Animal rescue from height - Bird,Haringey,Tottenham,Bird,00AP,Inner London
140588131,10/10/2013 14:57,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BEHIND BOILER,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Animal assistance involving domestic animal - Other action,Islington,Islington,Mammal,00AU,Outer London
140590131,10/10/2013 15:01,2013,2013/14,Special Service,1,2,290,580,ASSIST RSPCA OFFICER WITH SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Hackney,Stoke Newington,Mammal,00AM,Outer London
141747131,12/10/2013 20:02,2013,2013/14,Special Service,1,1,290,290,CAT STUCK BEHIND CUPBOARD,Cat,Converted Flat/Maisonettes - 3 or more storeys,Other animal assistance,Assist trapped domestic animal,Bromley,Beckenham,Mammal,00AF,Outer London
141976131,13/10/2013 07:28,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED UNDER HOUSE,Cat,House - single occupancy ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Southwark,Deptford,Mammal,00BE,Inner London
142362131,14/10/2013 07:42,2013,2013/14,Special Service,1,1,290,290,RUNNING CALL TO CAT STUCK ON ROOF,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Richmond Upon Thames,Kingston,Mammal,00BD,Outer London
142691131,14/10/2013 22:02,2013,2013/14,Special Service,1,1,290,290,KITTEN TRAPPED BEHIND RADIATOR,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Assist trapped domestic animal,Sutton,Sutton,Mammal,00BF,Inner London
143033131,15/10/2013 18:06,2013,2013/14,Special Service,1,1,290,290,CAT STUCK BEHIND TOILET PIPE,Cat,Single shop ,Other animal assistance,Assist trapped domestic animal,Redbridge,Hainault,Mammal,00BC,Outer London
143969131,17/10/2013 20:47,2013,2013/14,Special Service,1,1,290,290,DOG WITH HEAD TRAPPED UNDER IRON BAR,Dog,Domestic garden (vegetation not equipment) ,Other animal assistance,Assist trapped domestic animal,Camden,West Hampstead,Mammal,00AG,Outer London
144013131,17/10/2013 22:19,2013,2013/14,Special Service,1,1,290,290,SMALL ANIMAL RESCUE,Unknown - Wild Animal,Fence,Other animal assistance,Assist trapped wild animal,Croydon,Croydon,Mammal,00AH,Outer London
144650131,19/10/2013 12:45,2013,2013/14,Special Service,1,1,290,290,KITTEN TRAPPED BETWEEN TWO WALLS,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Haringey,Tottenham,Mammal,00AP,Inner London
144767131,19/10/2013 17:23,2013,2013/14,Special Service,1,2,290,580,HORSE TRAPPED IN FENCE,Horse,Animal harm outdoors,Other animal assistance,Assist trapped domestic animal,Hillingdon,Hayes,Mammal,00AS,Inner London
145925131,22/10/2013 13:57,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED IN NETTING,Bird,Pub/wine bar/bar ,Animal rescue from height,Animal rescue from height - Bird,Havering,Romford,Bird,00AR,Outer London
146533131,23/10/2013 17:30,2013,2013/14,Special Service,1,1,290,290,PIGEONS TRAPPED IN NETTING,Bird,Church/Chapel ,Animal rescue from height,Animal rescue from height - Bird,Hillingdon,Hayes,Bird,00AS,Outer London
146770131,24/10/2013 04:49,2013,2013/14,Special Service,1,1,290,290,CAT STUCK BETWEEN HARDBOARD AND WALL,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Islington,Holloway,Mammal,00AU,Inner London
147059131,24/10/2013 14:59,2013,2013/14,Special Service,1,1,290,290,KITTEN  STUCK IN ENGINE COMPARTMENT  OF  CAR,Cat,Car ,Other animal assistance,Assist trapped domestic animal,Hammersmith And Fulham,Fulham,Mammal,00AN,Outer London
147453131,25/10/2013 09:41,2013,2013/14,Special Service,1,1,290,290,KITTEN TRAPPED UNDER HEATER,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Assist trapped domestic animal,Sutton,Sutton,Mammal,00BF,Inner London
147969131,26/10/2013 12:02,2013,2013/14,Special Service,1,2,290,580,DOG DOWN FOXHOLE,Dog,Park ,Other animal assistance,Assist trapped domestic animal,Bromley,Orpington,Mammal,00AF,Inner London
147981131,26/10/2013 12:22,2013,2013/14,Special Service,1,1,290,290,CAT STUCK BETWEEN WALLS,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving domestic animal - Other action,Lambeth,Brixton,Mammal,00AY,Outer London
148355131,27/10/2013 09:05,2013,2013/14,Special Service,1,1,290,290,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Barnet,Barnet,Mammal,00AC,Outer London
148486131,27/10/2013 14:18,2013,2013/14,Special Service,1,1,290,290,CAT STUCK UP TREE,Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Haringey,Tottenham,Mammal,00AP,Outer London
148504131,27/10/2013 15:05,2013,2013/14,Special Service,1,2,290,580,TO ASSIST RSPCA JILL WITH CAT STUCK UP TREE,Cat,Woodland/forest - conifers/softwood ,Animal rescue from height,Animal rescue from height - Domestic pet,Haringey,Hornsey,Mammal,00AP,Outer London
149325131,28/10/2013 10:14,2013,2013/14,Special Service,1,1,290,290,DOG ON ROOF,Dog,Converted Flat/Maisonette - Up to 2 storeys ,Other animal assistance,Assist trapped domestic animal,Merton,Sutton,Mammal,00BA,Inner London
150207131,30/10/2013 00:18,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED,Cat,House - single occupancy ,Other animal assistance,Animal assistance involving domestic animal - Other action,Enfield,Edmonton,Mammal,00AK,Inner London
150293131,30/10/2013 08:50,2013,2013/14,Special Service,1,1,290,290,DOG TRAPPED BETWEEN FENCES,Dog,House - single occupancy ,Animal rescue from water,Animal rescue from water - Domestic pet,Merton,Sutton,Mammal,00BA,Inner London
150426131,30/10/2013 14:04,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BETWEEN SHED AND WALL,Cat,Private Garden Shed ,Other animal assistance,Animal assistance involving domestic animal - Other action,Greenwich,Plumstead,Mammal,00AL,Outer London
150920131,31/10/2013 18:09,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED ON ROOF,Cat,Converted Flat/Maisonettes - 3 or more storeys,Animal rescue from height,Animal rescue from height - Domestic pet,Islington,Islington,Mammal,00AU,Inner London
150976131,31/10/2013 20:09,2013,2013/14,Special Service,1,1,290,290,DOG FALLEN DOWN EMBANKMENT BY RIVER,Dog,River/canal ,Other animal assistance,Assist trapped domestic animal,Tower Hamlets,Millwall,Mammal,00BG,Outer London
151172131,01/11/2013 07:52,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED,Cat,Other outdoor structures ,Other animal assistance,Assist trapped domestic animal,Hackney,Homerton,Mammal,00AM,Inner London
151259131,01/11/2013 11:18,2013,2013/14,Special Service,1,1,290,290,BLACKBIRD TRAPPED IN TREE,Bird,Animal harm outdoors,Animal rescue from height,Animal rescue from height - Bird,Harrow,Stanmore,Bird,00AQ,Outer London
151448131,01/11/2013 17:28,2013,2013/14,Special Service,1,1,290,290,CAT STUCK IN WALL CAVITY,Cat,Bakery,Other animal assistance,Animal assistance involving domestic animal - Other action,Southwark,Peckham,Mammal,00BE,Outer London
151451131,01/11/2013 17:34,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED UNDER BRANCHES AND RUBBISH,Cat,Tree scrub ,Other animal assistance,Assist trapped domestic animal,Merton,Norbury,Mammal,00BA,Outer London
151827131,02/11/2013 14:18,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BETWEEN WALLS,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Animal assistance involving domestic animal - Other action,Westminster,Paddington,Mammal,00BK,Outer London
152319131,03/11/2013 09:43,2013,2013/14,Special Service,1,1,290,290,DOG STUCK UNDER TREE IN GARDEN,Dog,Animal harm outdoors,Other animal assistance,Assist trapped domestic animal,Greenwich,Eltham,Mammal,00AL,Outer London
152362131,03/11/2013 12:07,2013,2013/14,Special Service,1,1,290,290,TO ASSIST RSPCA WITH FOX TRAPPED BETWEEN TWO GARAGES,Fox,Private Summer house ,Other animal assistance,Assist trapped wild animal,Barnet,Southgate,Mammal,00AC,Inner London
152391131,03/11/2013 13:07,2013,2013/14,Special Service,1,1,290,290,PIGEON TRAPPED BETWEEN LIFT DOORS,Bird,Mosque ,Other animal assistance,Assist trapped wild animal,Harrow,Harrow,Bird,00AQ,Inner London
152433131,03/11/2013 14:26,2013,2013/14,Special Service,1,1,290,290,PARROT TRAPPED IN GOLF NETTING,Bird,Fence,Animal rescue from height,Animal rescue from height - Bird,Hounslow,Chiswick,Bird,00AT,Outer London
152434131,03/11/2013 14:26,2013,2013/14,Special Service,1,2,290,580,CAT TRAPPED BETWEEN WALLS,Cat,Private garage ,Other animal assistance,Animal assistance involving domestic animal - Other action,Brent,Wembley,Mammal,00AE,Outer London
152949131,04/11/2013 14:49,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT UP TREE,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Haringey,Tottenham,Mammal,00AP,Outer London
153950131,06/11/2013 13:10,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED UNDER RAILWAY BRIDGE,Bird,Bridge,Animal rescue from height,Wild animal rescue from height,Southwark,Dowgate,Bird,00BE,Outer London
154129131,06/11/2013 19:40,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED IN CEILING VOID,Cat,Single shop ,Animal rescue from height,Animal rescue from height - Domestic pet,Waltham Forest,Walthamstow,Mammal,00BH,Inner London
154461131,07/11/2013 15:46,2013,2013/14,Special Service,2,7,290,2030,DOG TRAPPED BETWEEN TWO HOUSE,Dog,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Bexley,Sidcup,Mammal,00AD,Outer London
154957131,08/11/2013 17:51,2013,2013/14,Special Service,1,2,290,580,HORSE FALLEN INTO LAKE,Horse,Lake/pond/reservoir ,Animal rescue from water,Animal rescue from water - Farm animal,Hillingdon,Ruislip,Mammal,00AS,Outer London
155355131,09/11/2013 14:50,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT STUCK IN TREE,Cat,Tree scrub ,Other animal assistance,Assist trapped domestic animal,Bromley,Beckenham,Mammal,00AF,Inner London
156209131,11/11/2013 11:43,2013,2013/14,Special Service,1,1,290,290,CAT ON ROOF,Cat,Private garage ,Animal rescue from height,Animal rescue from height - Domestic pet,Haringey,Hornsey,Mammal,00AP,Outer London
157858131,15/11/2013 10:25,2013,2013/14,Special Service,1,1,290,290,TO ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,Cemetery ,Animal rescue from height,Animal rescue from height - Domestic pet,Ealing,Park Royal,Mammal,00AJ,Outer London
157865131,15/11/2013 10:49,2013,2013/14,Special Service,1,1,290,290,FOX TRAPPED IN BASEMENT AREA,Fox,Outdoor storage ,Animal rescue from below ground,Wild animal rescue from below ground,Merton,Mitcham,Mammal,00BA,Inner London
157913131,15/11/2013 12:39,2013,2013/14,Special Service,1,2,290,580,CAT TRAPPED BEHIND BOXED IN CISTERN,Cat,Converted Flat/Maisonettes - 3 or more storeys,Other animal assistance,Assist trapped domestic animal,Wandsworth,Battersea,Mammal,00BJ,Inner London
158360131,16/11/2013 10:56,2013,2013/14,Special Service,1,1,290,290,HORSE TRAPPED ON FENCE,Horse,"Grassland, pasture, grazing etc ",Other animal assistance,Animal assistance - Lift heavy domestic animal,Bromley,Sidcup,Mammal,00AF,Inner London
158861131,17/11/2013 10:26,2013,2013/14,Special Service,1,1,290,290,REQ FOR ASSISTANCE FROM RSPCA,Unknown - Domestic Animal Or Pet,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Barnet,Mill Hill,Mammal,00AC,Inner London
159099131,17/11/2013 19:33,2013,2013/14,Special Service,1,1,290,290,CAT STUCK ON BALCONY,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from height,Animal rescue from height - Domestic pet,Lewisham,Deptford,Mammal,00AZ,Outer London
159428131,18/11/2013 16:31,2013,2013/14,Special Service,1,1,290,290,DOG TRAPPED IN CAGE,Dog,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Animal assistance involving domestic animal - Other action,Southwark,Brixton,Mammal,00BE,Inner London
159535131,18/11/2013 19:40,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BEHIND FREEZER,Cat,Single shop ,Other animal assistance,Animal assistance involving domestic animal - Other action,Lambeth,West Norwood,Mammal,00AY,Inner London
160062131,19/11/2013 18:59,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED BEHIND BOILER,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Newham,East Ham,Mammal,00BB,Outer London
160143131,19/11/2013 21:52,2013,2013/14,Special Service,1,1,290,290,INJURED CAT TRAPPED BETWEEN WALLS,Cat,Infant/Primary school,Other animal assistance,Assist trapped domestic animal,Hounslow,Feltham,Mammal,00AT,Outer London
160751131,21/11/2013 10:36,2013,2013/14,Special Service,1,2,290,580,WATER RESCUE LEVEL 2,Cat,River/canal ,Animal rescue from water,Animal rescue from water - Domestic pet,Wandsworth,Tooting,Mammal,00BJ,Outer London
161464131,22/11/2013 20:24,2013,2013/14,Special Service,1,1,290,290,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Hackney,Holloway,Mammal,00AM,Outer London
162280131,24/11/2013 15:41,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT ON ROOF,Cat,Retirement/Old Persons Home,Animal rescue from height,Animal rescue from height - Domestic pet,Hillingdon,Ruislip,Mammal,00AS,Inner London
163060131,26/11/2013 12:34,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT STUCK IN TREE,Cat,Hedge,Other animal assistance,Assist trapped domestic animal,Hounslow,Feltham,Mammal,00AT,Inner London
163186131,26/11/2013 16:59,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA PIGEON TRAPPED IN NETTING,Bird,Animal harm outdoors,Other animal assistance,Assist trapped wild animal,Sutton,Sutton,Bird,00BF,Inner London
163998131,28/11/2013 11:31,2013,2013/14,Special Service,1,1,290,290,HORSE STUCK IN WATER - LEVEL TWO WATER IMPLEMENTED,Horse,"Grassland, pasture, grazing etc ",Other animal assistance,Assist trapped domestic animal,Bexley,Erith,Mammal,00AD,Outer London
164862131,30/11/2013 08:20,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED IN WIRE MESH NEAR PLATFORM ONE,Bird,"Tunnel, subway ",Animal rescue from height,Animal rescue from height - Bird,Newham,East Ham,Bird,00BB,Outer London
165496131,01/12/2013 13:30,2013,2013/14,Special Service,1,1,290,290,PIEGEON TRAPPED IN WIRING,Bird,Purpose Built Flats/Maisonettes - 10 or more storeys ,Animal rescue from below ground,Animal rescue from below ground - Bird,Westminster,Paddington,Bird,00BK,Outer London
165727131,01/12/2013 20:54,2013,2013/14,Special Service,1,1,290,290,CAT STUCK BETWEEN TWO WALLS,Cat,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Other animal assistance,Assist trapped domestic animal,Islington,Stoke Newington,Mammal,00AU,Inner London
166619131,03/12/2013 19:22,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH 3 KITTENS STUCK BETWEEN 2 HOUSES,Cat,Outdoor storage ,Other animal assistance,Assist trapped domestic animal,Hillingdon,Heathrow,Mammal,00AS,Outer London
166897131,04/12/2013 12:28,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT IN TREE,Cat,Tree scrub ,Animal rescue from height,Animal rescue from height - Domestic pet,Barnet,Mill Hill,Mammal,00AC,Inner London
167793131,06/12/2013 10:35,2013,2013/14,Special Service,1,1,290,290,TWO BIRDS TRAPPED BEHIND GAS FIRE,Bird,House - single occupancy ,Other animal assistance,Assist trapped wild animal,Barking And Dagenham,Barking,Bird,00AB,Inner London
167809131,06/12/2013 11:07,2013,2013/14,Special Service,1,1,290,290,CAT STUCK IN CHIMNEY,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Assist trapped domestic animal,Southwark,Forest Hill,Mammal,00BE,Outer London
168069131,06/12/2013 22:31,2013,2013/14,Special Service,1,1,290,290,DOG IMPALED ON METAL FENCE,Dog,Railings,Animal rescue from height,Animal rescue from height - Domestic pet,Barnet,Barnet,Mammal,00AC,Inner London
168345131,07/12/2013 14:25,2013,2013/14,Special Service,1,1,290,290,CAT ON ROOF OF TERRACE HOUSE,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Islington,Holloway,Mammal,00AU,Inner London
169274131,09/12/2013 16:58,2013,2013/14,Special Service,1,1,290,290,DOG WITH HEAD STUCK IN DOOR,Dog,Private Garden Shed ,Other animal assistance,Assist trapped domestic animal,Lambeth,West Norwood,Mammal,00AY,Outer London
170069131,11/12/2013 13:23,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT UP TREE,Cat,Tree scrub ,Animal rescue from height,Wild animal rescue from height,Brent,Park Royal,Mammal,00AE,Outer London
170952131,13/12/2013 11:33,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED UNDER FLOORBOARDS,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Southwark,Old Kent Road,Mammal,00BE,Inner London
171012131,13/12/2013 14:26,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT STUCK IN TREE,Cat,Domestic garden (vegetation not equipment) ,Animal rescue from height,Animal rescue from height - Domestic pet,Wandsworth,Tooting,Mammal,00BJ,Inner London
171760131,15/12/2013 10:37,2013,2013/14,Special Service,1,3,290,870,HORSE STUCK IN DITCH,Horse,Animal harm outdoors,Other animal assistance,Assist  trapped livestock animal,Hillingdon,Hillingdon,Mammal,00AS,Inner London
171915131,15/12/2013 15:58,2013,2013/14,Special Service,1,2,290,580,KITTEN TRAPPED IN CHIMNEY,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Kingston Upon Thames,New Malden,Mammal,00AX,Outer London
172120131,16/12/2013 04:40,2013,2013/14,Special Service,1,2,290,580,INJURED CAT TRAPPED BEHIND LIFT,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Southwark,Peckham,Mammal,00BE,Outer London
172696131,17/12/2013 11:58,2013,2013/14,Special Service,1,1,290,290,DOG TRAPPED UNDER CAR,Dog,Car ,Other animal assistance,Animal assistance involving domestic animal - Other action,Islington,Shoreditch,Mammal,00AU,Outer London
173432131,19/12/2013 07:43,2013,2013/14,Special Service,1,1,290,290,PIGEON TRAPPED IN NETTING,Bird,Train station - concourse ,Animal rescue from height,Animal rescue from height - Bird,Newham,East Ham,Bird,00BB,Inner London
173518131,19/12/2013 11:28,2013,2013/14,Special Service,1,1,290,290,DOG STUCK UNDER STOARGE UNIT,Dog,Outdoor storage ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Richmond Upon Thames,Twickenham,Mammal,00BD,Outer London
174029131,20/12/2013 12:23,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT IN TREE,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Hillingdon,Hillingdon,Mammal,00AS,Outer London
174040131,20/12/2013 12:49,2013,2013/14,Special Service,2,3,290,870,HORSE TRAPPED IN TREE TRUNKS ON STEEP INCLINE,Horse,Wasteland ,Other animal assistance,Assist  trapped livestock animal,Bexley,Bexley,Mammal,00AD,Outer London
174592131,21/12/2013 16:56,2013,2013/14,Special Service,1,1,290,290,SMALL ANIMAL RESCUE,Unknown - Domestic Animal Or Pet,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Other animal assistance,Assist trapped domestic animal,Islington,Islington,Mammal,00AU,Inner London
174832131,22/12/2013 10:38,2013,2013/14,Special Service,1,1,290,290,KITTEN STUCK UP CHIMNEY,Cat,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Hillingdon,Hillingdon,Mammal,00AS,Inner London
174841131,22/12/2013 11:03,2013,2013/14,Special Service,1,1,290,290,PERSONS LOCKED OUT,Unknown - Domestic Animal Or Pet,House - single occupancy ,Other animal assistance,Assist trapped domestic animal,Ealing,Ealing,Mammal,00AJ,Inner London
174957131,22/12/2013 15:44,2013,2013/14,Special Service,1,2,290,580,PUPPY TRAPPED BEHIND A FENCE,Dog,Park ,Other animal assistance,Animal assistance involving domestic animal - Other action,Enfield,Enfield,Mammal,00AK,Outer London
174961131,22/12/2013 15:53,2013,2013/14,Special Service,1,1,290,290,CAT STUCK IN TREE,Cat,Other outdoor location ,Other animal assistance,Animal assistance involving domestic animal - Other action,Newham,Stratford,Mammal,00BB,Outer London
175275131,23/12/2013 10:21,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,House - single occupancy ,Animal rescue from height,Animal rescue from height - Domestic pet,Newham,Plaistow,Mammal,00BB,Inner London
177130131,24/12/2013 18:46,2013,2013/14,Special Service,1,1,290,290,DOG TRAPPEDN IN HEDGING,Dog,Railway trackside vegetation ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Tower Hamlets,Bethnal Green,Mammal,00BG,Outer London
177406131,25/12/2013 10:36,2013,2013/14,Special Service,1,1,290,290,BIRD TRAPPED IN CHIMNEY,Bird,House - single occupancy ,Other animal assistance,Assist trapped wild animal,Bexley,Sidcup,Bird,00AD,Outer London
177808131,26/12/2013 11:12,2013,2013/14,Special Service,1,1,290,290,DOG WITH HEAD TRAPPED,Dog,Fence,Other animal assistance,Assist trapped domestic animal,Havering,Harold Hill,Mammal,00AR,Outer London
177814131,26/12/2013 11:33,2013,2013/14,Special Service,1,1,290,290,CAT TRAPPED IN BASEMENT,Cat,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Camden,Euston,Mammal,00AG,Outer London
178314131,27/12/2013 14:45,2013,2013/14,Special Service,1,1,290,290,ASSIST RSPCA WITH PIGEON TRAPPED IN NETTING UNDERNEATH BRIDGE,Bird,Bridge,Animal rescue from height,Animal rescue from height - Bird,Ealing,Northolt,Bird,00AJ,Outer London
